,StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,DistributionChannel,consent,age,race,ethnicity,major.declare,gender,against.time_First.Click,against.time_Last.Click,against.time_Page.Submit,against.time_Click.Count,genes.time_First.Click,genes.time_Last.Click,genes.time_Page.Submit,genes.time_Click.Count,shell.time_First.Click,shell.time_Last.Click,shell.time_Page.Submit,shell.time_Click.Count,stimuli.title,anagram1.time_First.Click,anagram1.time_Last.Click,anagram1.time_Page.Submit,anagram1.time_Click.Count,anagram1,anagram2.time_First.Click,anagram2.time_Last.Click,anagram2.time_Page.Submit,anagram2.time_Click.Count,anagram2,anagram3.time_First.Click,anagram3.time_Last.Click,anagram3.time_Page.Submit,anagram3.time_Click.Count,anagram3,anagram4.time_First.Click,anagram4.time_Last.Click,anagram4.time_Page.Submit,anagram4.time_Click.Count,anagram4,anagram5.time_First.Click,anagram5.time_Last.Click,anagram5.time_Page.Submit,anagram5.time_Click.Count,anagram5,anagram6.time_First.Click,anagram6.time_Last.Click,anagram6.time_Page.Submit,anagram6.time_Click.Count,anagram6,anagram7.time_First.Click,anagram7.time_Last.Click,anagram7.time_Page.Submit,anagram7.time_Click.Count,anagram7,anagram8.time_First.Click,anagram8.time_Last.Click,anagram8.time_Page.Submit,anagram8.time_Click.Count,anagram8,anagram9.time_First.Click,anagram9.time_Last.Click,anagram9.time_Page.Submit,anagram9.time_Click.Count,anagram9,anagram10.time_First.Click,anagram10.time_Last.Click,anagram10.time_Page.Submit,anagram10.time_Click.Count,anagram10,creativity.time_First.Click,creativity.time_Last.Click,creativity.time_Page.Submit,creativity.time_Click.Count,interest_1,interest_2,interest_3,interest_4,interest_5,interest_6,interest_7,interest_8,interest_9,interest_10,interest_11,interest_12,interest_13,interest_14,interest_15,interest_16,interest_17,interest_18,lead_1,lead_2,lead_3,lead_4,lead_5,lead_6,lead_7,pj.fit_1,pj.fit_2,pj.fit_3,pj.fit_4,pj.fit_5,confidence_1,confidence_2,confidence_3,selfeff_1,selfeff_2,selfeff_3,selfeff_4,selfeff_5,selfeff_6,selfeff_7,selfeff_8,selfeff_9,selfeff_10,selfeff_11,selfeff_12,selfeff_13,selfeff_14,selfeff_15,selfeff_16,selfeff_17,selfeff_18,dd.interest,dd.graduate,dd.prof,dd.gender.good,dd.gender.career,dd.important,dd.useful,dd.care,dd.school_1,dd.school_2,dd.school_3,dd.school_4,dd.school_5,dd.school_6,dd.school_7,dd.school_8,dd.school_9,dd.school_10,dd.school_11,dd.school_12,dd.school_13,dd.school_14,dd.major,gender.belief_1,gender.belief_2,gender.belief_3,gender.belief_4,manip.gender,manip.image,major,stem.classes.num,FL_15_DO,Stimuli.againstthetide_DO,Stimuli.genesforage_DO,Stimuli.shellofplant_DO,against.article,against.gender,against.image,genes.article,genes.gender,genes.image,shell.article,shell.gender,shell.image,in_research_methods_class,genderF,gender.mf.F,participant.gender,article.cond,image.cond,image.3level.cond,image.2level.cond,gender.cond,cell,article.image.cond,stimuli.title.score,manip.gender.score,manip.image.score
11,2/26/19 14:11,2/26/19 14:34,0,100,1359,1,2/26/19 14:34,anonymous,4,NA,,,NA,NA,NA,NA,NA,NA,0,0,90.696,0,NA,NA,NA,NA,2,46.007,77.312,77.318,10,,40.929,60.107,60.111,2,,1.704,47.633,47.639,20,,2.194,21.429,25.375,9,computation,2.454,2.454,11.621,1,experiment,39.347,59.932,59.946,7,,17.286,33.55,41.873,3,striation,9.603,51.965,51.971,11,,9.584,125.97,125.876,9,,22.21,28.327,29.322,7,microscope,3.539,3.539,189.109,1,4,5,5,4,5,4,5,6,3,5,4,3,5,6,4,4,4,3,5,3,5,6,5,5,3,3,3,3,3,3,5,4,3,3,3,5,4,5,5,5,6,3,5,4,3,4,6,5,5,4,3,5,2,2,4,2,5,5,3,5,5,5,5,5,5,4,5,4,4,3,4,3,2,4,7,7,8,2,1,1,"48,55",2,Stimuli-genesforage,,genes.time|genes.M.M1,,,,,genes,M,M1,,,,FALSE,NA,NA,NA,genes,M1,M,P,M,genes M M1,Man-Pic,1,1,1
12,2/26/19 14:48,2/26/19 15:07,0,100,1121,1,2/26/19 15:07,anonymous,4,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.945,23.964,67.947,4,3,1.401,140.553,140.56,8,,0.761,50.768,50.776,12,,13.593,16.617,41.875,3,Pipet ,13.262,13.292,16.986,2,Computation ,0.979,1.01,18.505,2,Experiment,0.858,23.807,23.807,4,,0.603,0.531,22.766,2,Striation,22.545,22.562,22.568,2,,21.983,21.997,22.004,2,,11.853,15.001,15.368,4,Microscope ,14.96,72.2,84.534,4,6,3,3,6,3,3,5,7,4,5,5,5,3,6,4,3,5,3,1,1,5,5,5,5,3,1,1,1,1,1,6,3,2,2,5,3,4,3,3,3,6,5,5,5,6,2,7,4,3,5,3,2,1,1,6,4,3,5,3,4,5,5,5,5,3,5,5,5,3,2,3,6,1,3,7,8,8,2,2,4,54,1,Stimuli-shellofplant,,,shell.time|shell.F.O2,,,,,,,shell,F,O2,FALSE,NA,NA,NA,shell,O2,O,O,F,shell F O2,Woman-No Pic,1,1,1
13,2/26/19 15:04,2/26/19 15:12,0,100,478,1,2/26/19 15:12,anonymous,4,NA,,,NA,NA,0,0,27.444,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1.129,28.128,28.139,2,,7.996,7.996,8.002,1,,3.277,3.277,5.79,1,pipette ,8.938,8.938,8.941,1,,1.907,1.907,4.929,1,experiment ,4.689,4.689,4.699,1,,5.384,5.384,5.389,1,,7.835,7.835,7.84,1,,6.969,8.656,8.664,2,,2.6,10.618,10.627,2,,4.796,4.796,26.411,1,2,6,6,2,6,6,6,6,2,6,6,2,6,1,1,4,1,7,7,7,7,7,7,7,7,7,6,6,5,7,7,7,7,7,2,7,2,6,6,6,6,2,6,6,2,6,1,1,5,1,7,6,1,7,3,1,6,7,7,7,7,7,7,7,6,7,7,7,7,5,5,4,1,2,8,8,8,1,2,5,54,6,Stimuli-againstthetide,against.time|against.M.O1,,,against,M,O1,,,,,,,TRUE,NA,NA,NA,against,O1,O,O,M,against M O1,Man-No Pic,1,0,1
14,2/26/19 13:57,2/26/19 15:36,0,100,5938,1,2/26/19 15:36,anonymous,4,NA,,,NA,NA,NA,NA,NA,NA,0,0,446.951,0,NA,NA,NA,NA,2,1.274,74.83,76.027,3,docimia,5.893,75.822,81.24,3,equipoine,18.779,29.517,41.963,4,pippete,153.895,337.403,342.297,6,capomitution,172.601,172.601,240.255,1,extremepin,24.738,464.412,464.875,3,plontceyboo,3.726,21.062,21.768,2,trasition,1.423,204.628,206.08,2,weefutring,1.562,168.296,173.085,2,calelanity,5.683,77.783,80.9,5,soccoprime,4.755,4.755,81.673,1,3,5,5,2,5,5,5,5,1,7,6,1,5,2,6,6,1,6,5,5,4,4,5,5,6,4,4,4,4,4,6,5,5,5,3,6,2,5,5,5,5,1,6,5,1,5,2,6,6,2,6,5,6,5,4,1,6,6,6,5,5,5,5,5,5,6,6,6,6,5,4,5,4,4,8,8,8,1,1,3,54,18,Stimuli-genesforage,,genes.time|genes.M.O3,,,,,genes,M,O3,,,,TRUE,NA,NA,NA,genes,O3,O,O,M,genes M O3,Man-No Pic,1,1,1
15,2/26/19 17:21,2/26/19 17:48,0,100,1583,1,2/26/19 17:48,anonymous,4,NA,,,NA,NA,NA,NA,NA,NA,0,0,65.323,0,NA,NA,NA,NA,2,2.476,94.304,94.308,2,,41.721,41.721,41.728,1,,5.296,5.296,13.374,1,pippete,2.382,152.519,161.37,6,computation,4.931,79.899,80.993,2,pinextreme,19.925,96.859,99.643,5,plenobocty,2.893,22.07,70.707,2,stiration,11.793,108.13,112.24,3,werefuting,3.538,73.999,76.798,2,calenality ,3.111,19.938,19.941,2,,19.041,92.504,102.048,6,1,6,6,1,6,6,6,6,1,7,6,1,6,1,4,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,3,6,6,6,6,1,6,6,1,6,1,4,6,1,6,7,7,7,4,2,6,6,6,7,6,7,2,7,6,6,6,6,6,6,6,1,1,5,8,8,8,2,2,3,54,11,Stimuli-genesforage,,genes.time|genes.M.O1,,,,,genes,M,O1,,,,FALSE,NA,NA,NA,genes,O1,O,O,M,genes M O1,Man-No Pic,1,0,1
16,2/26/19 17:54,2/26/19 18:23,0,100,1780,1,2/26/19 18:23,anonymous,4,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,84.002,0,3,1.435,66.177,66.18,4,,8.77,60.744,68.898,6,equiponi,1.078,1.078,30.089,1,pipe tip ,1.175,101.546,101.549,2,,1.286,1.286,7.644,1,experiment ,1.361,80.305,80.308,2,,219.575,219.575,219.578,1,,57.908,57.908,57.912,1,,23.619,80.389,80.392,2,,10.464,93.457,93.459,3,,11.131,36.342,49.092,3,3,6,4,2,5,5,4,7,3,6,5,3,5,7,4,4,3,5,3,3,5,5,5,5,5,3,3,3,2,2,6,4,4,5,5,3,2,5,5,4,6,3,5,4,3,4,5,4,4,4,5,5,5,5,4,1,5,6,3,6,6,6,6,7,5,5,5,5,5,2,3,3,3,5,3,8,8,1,2,2,"54,56",15,Stimuli-shellofplant,,,shell.time|shell.F.F1,,,,,,,shell,F,F1,TRUE,NA,NA,NA,shell,F1,F,P,F,shell F F1,Woman-Pic,1,1,1
17,2/26/19 18:37,2/26/19 18:57,0,100,1217,1,2/26/19 18:57,anonymous,4,NA,,,NA,NA,0,0,2.339,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1.116,3.209,3.217,2,,0.938,36.279,36.284,3,,0.833,101.563,101.567,14,,0.937,40.628,40.633,3,,0.915,33.645,33.651,2,,8.395,8.395,8.399,1,,9.377,12.722,12.727,4,,7.332,7.332,7.34,1,,17.02,17.02,17.024,1,,8.597,8.597,8.6,1,,5.269,5.269,121.563,1,1,7,7,1,7,7,7,7,1,7,6,1,6,1,6,7,1,5,6,6,7,6,6,6,7,6,6,6,5,5,7,7,6,6,1,6,1,6,7,7,7,1,7,7,1,6,1,6,7,1,6,6,4,4,4,2,6,7,6,6,5,6,5,6,7,7,7,7,5,5,6,2,2,3,8,8,8,1,2,2,54,0,Stimuli-againstthetide,against.time|against.F.F2PS,,,against,F,F2PS,,,,,,,FALSE,NA,NA,NA,against,F2PS,F,P,F,against F F2PS,Woman-Pic,1,1,1
18,2/26/19 19:16,2/26/19 19:44,0,100,1666,1,2/26/19 19:44,anonymous,4,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,37.807,0,3,4.161,26.169,26.172,3,,16.039,38.146,38.149,2,,1.781,55.895,64.644,2,pippete,1.793,9.649,20.37,3,computation,2.01,13.034,14.683,5,experiment,2.475,13.804,13.807,3,,1.065,11.334,11.336,2,,0.92,11.219,11.221,2,,1.273,20.208,20.211,2,,2.004,13.819,17.735,2,microscope,18.705,18.705,100.273,1,5,3,3,5,3,3,6,6,3,5,5,5,3,5,3,3,5,3,3,3,3,5,4,4,3,3,3,3,3,3,4,3,3,4,4,4,4,3,3,3,5,5,5,5,4,3,5,3,3,5,3,2,2,2,3,3,3,3,3,5,5,5,5,5,4,4,4,3,3,4,4,4,4,4,7,7,7,6,1,1,54,4,Stimuli-shellofplant,,,shell.time|shell.M.M3,,,,,,,shell,M,M3,TRUE,NA,NA,NA,shell,M3,M,P,M,shell M M3,Man-Pic,1,1,1
19,2/26/19 21:03,2/26/19 21:38,0,100,2104,1,2/26/19 21:38,anonymous,4,NA,,,NA,NA,NA,NA,NA,NA,0,0,68.377,0,NA,NA,NA,NA,2,19.515,19.515,19.519,1,,18.464,18.464,18.467,1,,10.724,10.724,10.727,1,,41.93,41.93,41.934,1,,41.086,41.086,41.088,1,,59.168,59.168,59.17,1,,15.169,15.169,26.562,1,transition,53.739,53.739,53.742,1,,57.347,57.347,57.349,1,,23.432,23.432,39.086,1,microscope,17.078,101.625,201.687,2,3,4,4,5,4,4,5,6,3,5,5,3,4,5,4,3,3,3,5,3,3,5,3,3,3,3,5,3,3,3,5,3,5,3,3,5,3,4,3,4,6,3,5,5,3,4,5,4,5,3,3,3,2,2,3,2,3,3,3,6,5,5,5,5,5,5,5,5,3,4,5,5,3,7,7,7,7,3,1,3,54,1,Stimuli-genesforage,,genes.time|genes.F.O1,,,,,genes,F,O1,,,,TRUE,NA,NA,NA,genes,O1,O,O,F,genes F O1,Woman-No Pic,1,0,1
20,2/26/19 14:52,3/2/19 19:52,0,100,363593,1,3/2/19 19:52,anonymous,4,NA,,,NA,NA,NA,NA,NA,NA,0,0,211.098,0,NA,NA,NA,NA,2,1.217,60.488,60.493,4,,41.085,41.085,41.09,1,,50.717,50.717,50.721,1,,29.734,29.734,29.737,1,,31.718,31.718,31.721,1,,29.502,53.844,53.847,5,,40.854,66.716,66.718,4,,41.481,65.663,65.665,3,,9.184,42.843,42.845,3,,4.955,20.77,22.144,5,microscope,9.455,9.455,67.656,1,3,5,5,3,5,5,7,7,1,6,6,1,5,5,5,5,3,3,5,5,2,5,2,2,3,3,3,3,2,2,2,1,2,3,3,3,5,5,5,6,7,1,5,5,2,4,3,5,5,2,3,2,1,2,3,3,6,6,5,6,6,6,6,6,4,3,5,3,3,2,2,7,5,6,8,8,8,2,2,3,"49,54",4,Stimuli-genesforage,,genes.time|genes.M.O2,,,,,genes,M,O2,,,,TRUE,NA,NA,NA,genes,O2,O,O,M,genes M O2,Man-No Pic,1,0,1
